"Category","Count"
"HB Select","20"
"Apparels & Accessories","12962"
"Automobiles","13913"
"Beauty & Health","13459"
"Books & Learning","2181"
"Business & Industrial","11444"
"Computers & Peripherals","47688"
"Electronics, TVs, & More","21417"
"Events & Happenings","414"
"Fresh Veggies & Meat","497"
"Furnishings & Appliances","32589"
"Jobs","495"
"Mobile Phones & Accessories","33302"
"Music Instruments","7766"
"Pets & Pet Care","1325"
"Pets for Adoption & Free Stuff","32"
"Real Estate","35191"
"Services","7504"
"Sports & Fitness","4784"
"Toys & Video Games","4460"
"Travel, Tours & Packages","1256"
"Want To Buy (Buyer's List)","242"
